product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,26-10-2022,12:22:14
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,26-10-2022,12:22:14
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,26-10-2022,12:22:14
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,26-10-2022,12:22:14
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,26-10-2022,12:22:14
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,26-10-2022,12:22:14
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,26-10-2022,12:22:14
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,26-10-2022,12:22:14
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,26-10-2022,12:22:14
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,26-10-2022,17:45:57
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,26-10-2022,17:45:57
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,26-10-2022,17:45:57
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,26-10-2022,17:45:57
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,26-10-2022,17:45:57
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,26-10-2022,17:45:57
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,26-10-2022,17:45:57
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,26-10-2022,17:45:57
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,26-10-2022,17:45:57
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,26-10-2022,20:59:37
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,26-10-2022,20:59:37
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,26-10-2022,20:59:37
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,26-10-2022,20:59:37
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,26-10-2022,20:59:37
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,26-10-2022,20:59:37
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,26-10-2022,20:59:37
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,26-10-2022,20:59:37
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,26-10-2022,20:59:37
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,27-10-2022,14:55:32
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,27-10-2022,14:55:32
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,27-10-2022,14:55:32
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,27-10-2022,14:55:32
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,27-10-2022,14:55:32
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,27-10-2022,14:55:32
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,27-10-2022,14:55:32
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,27-10-2022,14:55:32
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,27-10-2022,14:55:32
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,27-10-2022,17:02:29
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,27-10-2022,17:02:29
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,27-10-2022,17:02:29
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,27-10-2022,17:02:29
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,27-10-2022,17:02:29
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,27-10-2022,17:02:29
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,27-10-2022,17:02:29
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,27-10-2022,17:02:29
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,27-10-2022,17:02:29
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,28-10-2022,02:58:51
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,28-10-2022,02:58:51
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,28-10-2022,02:58:51
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,28-10-2022,02:58:51
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,28-10-2022,02:58:51
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,28-10-2022,02:58:51
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,28-10-2022,02:58:51
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,28-10-2022,02:58:51
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,28-10-2022,02:58:51
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,28-10-2022,11:38:51
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,28-10-2022,11:38:51
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,28-10-2022,11:38:51
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,28-10-2022,11:38:51
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,28-10-2022,11:38:51
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,28-10-2022,11:38:51
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,28-10-2022,11:38:51
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,28-10-2022,11:38:51
