product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Cumin (Jira),100 gm,100,gm,৳ 70,70,৳ 49,49,26-10-2022,12:21:58
Cinnamon (Daruchini) Whole,100 gm,100,gm,৳ 80,80,৳ 55,55,26-10-2022,12:21:58
Radhuni Chilli (Morich) Powder,200 gm,200,gm,৳ 120,120,,,26-10-2022,12:21:58
Radhuni Turmeric (Holud) Powder,200 gm,200,gm,৳ 95,95,,,26-10-2022,12:21:58
Cardamom (Elachi) Whole,50 gm,50,gm,৳ 250,250,৳ 129,129,26-10-2022,12:21:58
Dried Chillies (Shukna Morich),100 gm,100,gm,৳ 60,60,৳ 59,59,26-10-2022,12:21:58
Radhuni Cumin (Jira) Powder,100 gm,100,gm,৳ 88,88,,,26-10-2022,12:21:58
Radhuni Turmeric (Holud) Powder,100 gm,100,gm,৳ 50,50,,,26-10-2022,12:21:58
Radhuni Coriander (Dhonia) Powder,100 gm,100,gm,৳ 33,33,,,26-10-2022,12:21:58
Radhuni Chilli (Morich) Powder,100 gm,100,gm,৳ 63,63,,,26-10-2022,12:21:58
Clove (Lobongo),50 gm,50,gm,৳ 90,90,৳ 79,79,26-10-2022,12:21:58
Bay Leaf (Tejpata),100 gm,100,gm,৳ 30,30,,,26-10-2022,12:21:58
Chia Seed,100 gm,100,gm,৳ 135,135,,,26-10-2022,12:21:58
Radhuni Garam Masala,40 gm,40,gm,৳ 68,68,,,26-10-2022,12:21:58
Radhuni Coriander (Dhonia) Powder,200 gm,200,gm,৳ 63,63,,,26-10-2022,12:21:58
Black Pepper (Gol Morich) Whole,50 gm,50,gm,৳ 79,79,৳ 65,65,26-10-2022,12:21:58
Radhuni Roast Masala,35 gm,35,gm,৳ 60,60,,,26-10-2022,12:21:58
Radhuni Cumin (Jira) Powder,50 gm,50,gm,৳ 48,48,,,26-10-2022,12:21:58
Radhuni Cumin (Jira) Powder,200 gm,200,gm,৳ 170,170,,,26-10-2022,12:21:58
Black Cumin (Kalo Jira),100 gm,100,gm,৳ 60,60,৳ 45,45,26-10-2022,12:21:58
Alu Bukhara,100 gm,100,gm,৳ 100,100,৳ 59,59,26-10-2022,12:21:58
Radhuni Turmeric (Holud) Powder,500 gm,500,gm,৳ 200,200,,,26-10-2022,12:21:58
Radhuni Panch Phoran,50 gm,50,gm,৳ 22,22,,,26-10-2022,12:21:58
Radhuni Chilli (Morich) Powder,500 gm,500,gm,৳ 290,290,,,26-10-2022,12:21:58
Fenugreek (Methi) Seed,100 gm,100,gm,৳ 40,40,৳ 19,19,26-10-2022,12:21:58
Green Cardamom (Sobuj Elachi) Whole,50 gm,50,gm,৳ 300,300,৳ 159,159,26-10-2022,12:21:58
Coriander (Dhonia),100 gm,100,gm,৳ 30,30,৳ 19,19,26-10-2022,12:21:58
MDH Kashmiri Chilli Powder,100 gm,100,gm,৳ 179,179,৳ 165,165,26-10-2022,12:21:58
Nutmeg (Jayfal) Whole,5 pcs,5,pcs,৳ 60,60,৳ 49,49,26-10-2022,12:21:58
Black Cardamom (Kalo Elachi) Whole,50 gm,50,gm,৳ 160,160,৳ 89,89,26-10-2022,12:21:58
Ekata Dry Chilli,100 gm,100,gm,৳ 70,70,,,26-10-2022,12:21:58
Walnuts (Akhrot),100 gm,100,gm,৳ 150,150,৳ 139,139,26-10-2022,12:21:58
